source,file,line,function,reg,width,rw,value,notes
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,846,InitializeSoundChannels@ram:1050,0x4f,LOWER8,W,DYNAMIC,WriteICSSelectOscillator; value expr: voice_slot
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,847,InitializeSoundChannels@ram:1050,0x0d,UPPER8,R,,
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,852,InitializeSoundChannels@ram:1050,0x0d,UPPER8,W,DYNAMIC,value expr: bVar2
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,853,InitializeSoundChannels@ram:1050,0x07,UPPER8,W,0x01,
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,854,InitializeSoundChannels@ram:1050,0x08,UPPER8,W,0x01,
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,855,InitializeSoundChannels@ram:1050,0x10,UPPER8,W,0x0f,
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,857,InitializeSoundChannels@ram:1050,0x0d,UPPER8,R,,
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,860,InitializeSoundChannels@ram:1050,0x0d,UPPER8,W,0x03,
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,861,InitializeSoundChannels@ram:1050,0x00,UPPER8,W,0x00,
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,920,ProgramSoundChannelRegisters@ram:10b9,0x4f,LOWER8,W,DYNAMIC,WriteICSSelectOscillator; value expr: puVar3[-6]
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,924,ProgramSoundChannelRegisters@ram:10b9,0x01,WORD,W,DYNAMIC,value expr: value
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,926,ProgramSoundChannelRegisters@ram:10b9,0x11,UPPER8,W,DYNAMIC,value expr: **(byte **)(puVar3 + -4)
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,929,ProgramSoundChannelRegisters@ram:10b9,0x0b,WORD,W,DYNAMIC,value expr: *(ushort *)(*(short *)(puVar3 + -4) + 4)
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,931,ProgramSoundChannelRegisters@ram:10b9,0x0a,WORD,W,DYNAMIC,value expr: *(ushort *)(*(short *)(puVar3 + -4) + 6)
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,935,ProgramSoundChannelRegisters@ram:10b9,0x0b,WORD,W,DYNAMIC,value expr: *(ushort *)(*(short *)(puVar3 + -4) + 8)
pgm_bios_z80,pgm_bios_z80_raw_decompiled.c,937,ProgramSoundChannelRegisters@ram:10b9,0x0a,WORD,W,DYNAMIC,value expr: *(ushort *)(*(short *)(puVar3 + -4) + 10)
